step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J11_stopped,J11_accumulated_waiting_time,J11_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
25.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
45.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
50.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
55.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
60.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
65.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
70.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
75.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
80.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
85.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
90.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
95.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
100.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
105.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
110.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
115.0,0,0.0,0.0,5.418765411595814,0,0.0,0.40696839144887875,0,0.0
120.0,0,0.0,0.0,12.186645916021519,0,0.0,0.9152600839643545,0,0.0
125.0,0,0.0,0.0,12.473524902887732,0,0.0,0.9368057075441442,0,0.0
130.0,0,0.0,0.0,11.942244669945069,0,0.0,0.8969046885137619,0,0.0
135.0,0,0.0,0.0,12.485006419183776,0,0.0,0.9376680099070396,0,0.0
140.0,0,0.0,0.0,12.945221029395327,0,0.0,1.0,0,0.0
145.0,0,0.0,0.0,13.186474141256042,0,0.0,1.0,0,0.0
150.0,0,0.0,0.0,12.138775513331495,0,0.0,1.0,0,0.0
155.0,1,0.0,0.0,6.4731625538254605,1,0.0,0.0,1,0.0
160.0,0,0.0,0.0,13.04727392448629,0,0.0,0.9614168392137363,0,0.0
165.0,0,0.0,0.0,12.163777513331496,0,0.0,0.9118304073365381,0,0.0
170.0,0,0.0,0.0,12.971327107650922,0,0.0,0.9723665586041603,0,0.0
175.0,0,0.0,0.0,13.294291516202264,0,0.0,0.9965768639868275,0,0.0
180.0,2,0.0,0.0,3.196951771933777,2,0.0,0.23965234757399326,2,0.0
185.0,0,0.0,0.0,9.478334773078334,0,0.0,0.8504954398661624,0,0.0
190.0,0,0.0,0.0,12.500550128160896,0,0.0,0.9178151231344536,0,0.0
195.0,0,0.0,0.0,12.99484168027054,0,0.0,0.9730992549360334,0,0.0
200.0,0,0.0,0.0,12.396566937204856,0,0.0,0.8696562765803796,0,0.0
205.0,0,0.0,0.0,9.53117123502913,0,0.0,0.5337640871201431,0,0.0
210.0,1,3.0,0.5,8.72673270599492,1,3.0,0.5273277954554377,1,3.0
215.0,0,0.0,0.0,11.182131365835666,0,0.0,0.9735419351497221,0,0.0
220.0,0,0.0,0.0,12.652404214744456,0,0.0,0.9393762704263847,0,0.0
225.0,0,0.0,0.0,12.350838240804151,0,0.0,0.9447670645302926,0,0.0
230.0,0,0.0,0.0,11.746073807180117,0,0.0,0.867076148345026,0,0.0
235.0,0,0.0,0.0,12.057306438790278,0,0.0,0.7741054465658873,0,0.0
240.0,0,0.0,0.0,12.298864621120808,0,0.0,1.0,0,0.0
245.0,1,0.0,0.0,9.145450356631773,1,0.0,0.0,1,0.0
250.0,0,0.0,0.0,11.579744463398432,0,0.0,0.8924191071856932,0,0.0
255.0,0,0.0,0.0,11.759672440194677,0,0.0,0.920596097284554,0,0.0
260.0,0,0.0,0.0,12.125143694739942,0,0.0,0.9134506906158489,0,0.0
265.0,0,0.0,0.0,7.640438522983573,0,0.0,0.6237018164081822,0,0.0
270.0,0,0.0,0.0,10.516872734035209,0,0.0,0.849562612324067,0,0.0
275.0,0,0.0,0.0,9.324235567697338,0,0.0,0.8488605809941857,0,0.0
280.0,0,0.0,0.0,10.334937110134678,0,0.0,0.7732613282227552,0,0.0
285.0,0,0.0,0.0,11.622766441229079,0,0.0,0.9193837933963765,0,0.0
290.0,0,0.0,0.0,10.693787768654959,0,0.0,0.8389784778820484,0,0.0
295.0,2,2.0,0.25,8.300392468099595,2,2.0,0.5758199119833679,2,2.0
300.0,4,8.0,0.8,6.902580697938385,4,8.0,0.4608953380158698,4,8.0
305.0,0,0.0,0.0,9.930258695973246,0,0.0,0.9170901348891233,0,0.0
310.0,0,0.0,0.0,10.77261089581136,0,0.0,0.7946747405698765,0,0.0
315.0,1,5.0,0.45454545454545453,8.844149554740772,1,5.0,0.5987011390191095,1,5.0
320.0,0,0.0,0.0,8.247107891996434,0,3.0,0.6044123280535687,0,3.0
325.0,0,0.0,0.0,11.851192075647157,0,0.0,0.9448281766703395,0,0.0
330.0,1,2.0,0.2,11.049538071922711,1,2.0,0.8089294498825911,1,2.0
335.0,0,0.0,0.0,11.22627934764939,0,0.0,0.9325875146831631,0,0.0
340.0,1,2.0,0.18181818181818182,9.597399304415443,1,2.0,0.4543148046270916,1,2.0
345.0,2,11.0,1.0,8.706410762726772,2,11.0,0.35117475256862907,2,11.0
350.0,0,0.0,0.0,9.479136400742966,0,8.0,0.6039213681032498,0,8.0
355.0,0,0.0,0.0,11.790467486234045,0,0.0,0.9374085171500995,0,0.0
360.0,0,0.0,0.0,12.513281920375684,0,0.0,0.9741482199463035,0,0.0
365.0,0,0.0,0.0,12.127808012193874,0,0.0,0.9253723522931283,0,0.0
370.0,1,0.0,0.0,8.978233412256223,1,0.0,0.5232433173699905,1,0.0
375.0,3,8.0,0.8888888888888888,7.488242063358795,3,8.0,0.3449708717357091,3,8.0
380.0,1,0.0,0.0,8.714025806289204,1,0.0,0.6927225694881678,1,0.0
385.0,0,0.0,0.0,10.725625235675682,0,0.0,0.7725672148941523,0,0.0
390.0,1,2.0,0.16666666666666666,9.854329075348103,1,2.0,0.6643126302005744,1,2.0
395.0,0,0.0,0.0,11.250098204850076,0,0.0,0.8696383259301178,0,0.0
400.0,1,0.0,0.0,11.287235231635487,1,0.0,0.7946965187046435,1,0.0
405.0,0,0.0,0.0,10.662426458518127,0,0.0,0.7419883151739636,0,0.0
410.0,0,0.0,0.0,10.49519348538518,0,0.0,0.8320843604469742,0,0.0
415.0,1,4.0,0.3076923076923077,10.558228438088001,1,4.0,0.6619918390064389,1,4.0
420.0,2,11.0,0.8461538461538461,8.677374639765041,2,11.0,0.48843809781679826,2,11.0
425.0,2,5.0,0.38461538461538464,9.26381368387209,2,11.0,0.5569490464073794,2,11.0
430.0,2,0.0,0.0,8.332234665251123,2,0.0,0.4055912661239583,2,0.0
435.0,2,8.0,0.5714285714285714,10.584968505091837,2,8.0,0.6139337344638663,2,8.0
440.0,1,3.0,0.2727272727272727,9.970406033008585,1,10.0,0.6571952099555101,1,10.0
445.0,1,2.0,0.18181818181818182,10.63433550351849,1,2.0,0.7131931809108577,1,2.0
450.0,1,7.0,0.7,10.234616806301645,1,7.0,0.6054694587062273,1,7.0
